dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
25_musk,2106,42,continuous,300,-166.0,225.0,zscore_range,,,-38.700379867046536,67.20494211640946,zscore
25_musk,2106,43,continuous,185,-134.0,93.0,zscore_range,,,-55.857549857549856,44.46691347076987,zscore
25_musk,2106,44,continuous,189,-136.0,66.0,zscore_range,,,-72.78727445394112,41.56143234506359,zscore
25_musk,2106,45,continuous,269,-263.0,134.0,zscore_range,,,-113.11585944919278,59.5979395772135,zscore
25_musk,2106,46,continuous,243,-159.0,110.0,zscore_range,,,-81.29202279202279,79.10691974270625,zscore
25_musk,2106,47,continuous,350,-258.0,179.0,zscore_range,,,-98.29867046533714,90.24903062690777,zscore
25_musk,2106,48,continuous,225,-57.0,207.0,zscore_range,,,22.837606837606838,52.78946546943033,zscore
25_musk,2106,49,continuous,259,-139.0,212.0,zscore_range,,,-41.48005698005698,70.97311551244466,zscore
25_musk,2106,50,continuous,297,-200.0,172.0,zscore_range,,,-75.56837606837607,69.80161364705845,zscore
25_musk,2106,51,continuous,263,-206.0,177.0,zscore_range,,,-78.41690408357076,122.26406424072576,zscore
25_musk,2106,52,continuous,271,-206.0,166.0,zscore_range,,,-68.98100664767331,120.39632487273565,zscore
25_musk,2106,53,continuous,300,-87.0,309.0,zscore_range,,,57.12013295346629,64.68760714187152,zscore
25_musk,2106,54,continuous,229,-54.0,264.0,zscore_range,,,84.09069325735993,84.17514322943582,zscore
25_musk,2106,55,continuous,333,-228.0,214.0,zscore_range,,,-61.49667616334283,73.43737917040237,zscore
25_musk,2106,56,continuous,271,-170.0,229.0,zscore_range,,,-9.404083570750238,123.46336628058522,zscore
25_musk,2106,57,continuous,242,-177.0,86.0,zscore_range,,,-88.17996201329535,93.92809780195547,zscore
25_musk,2106,58,continuous,235,-137.0,200.0,zscore_range,,,44.484330484330485,67.50520356611308,zscore
25_musk,2106,59,continuous,341,-205.0,199.0,zscore_range,,,-46.47435897435897,112.48158468120617,zscore
25_musk,2106,60,continuous,170,-101.0,197.0,zscore_range,,,-2.3912630579297245,110.39940783084771,zscore
25_musk,2106,61,continuous,137,-195.0,85.0,zscore_range,,,-42.027065527065524,116.53440092475373,zscore
25_musk,2106,62,continuous,68,-54.0,29.0,zscore_range,,,-12.547483380816715,28.98248932370754,zscore
25_musk,2106,63,continuous,332,-195.0,225.0,zscore_range,,,-28.390788224121557,141.85481285574298,zscore
25_musk,2106,64,continuous,194,-159.0,110.0,zscore_range,,,-39.08784425451092,91.84772264042346,zscore
25_musk,2106,65,continuous,48,53.0,110.0,zscore_range,,,67.43779677113011,14.626374845110977,zscore
25_musk,2106,66,continuous,91,-167.0,36.0,zscore_range,,,-159.42450142450141,21.820519888151594,zscore
25_musk,2106,67,continuous,228,-146.0,149.0,zscore_range,,,-2.2773029439696106,60.70173704973395,zscore
25_musk,2106,68,continuous,203,-133.0,150.0,zscore_range,,,7.184235517568851,90.46004747029595,zscore
25_musk,2106,69,continuous,221,-151.0,158.0,zscore_range,,,10.081196581196581,63.18550416851742,zscore
25_musk,2106,70,continuous,175,-171.0,67.0,zscore_range,,,-64.44444444444444,85.16152464670854,zscore
25_musk,2106,71,continuous,139,-150.0,90.0,zscore_range,,,-77.30864197530865,69.3105422994531,zscore
25_musk,2106,72,continuous,235,-126.0,180.0,zscore_range,,,-50.58072174738842,50.98838283280352,zscore
25_musk,2106,73,continuous,213,-124.0,125.0,zscore_range,,,-54.542260208926876,49.86559684529615,zscore
25_musk,2106,74,continuous,244,-108.0,203.0,zscore_range,,,-32.116809116809115,58.069044214547766,zscore
25_musk,2106,75,continuous,92,-189.0,-60.0,zscore_range,,,-173.00522317188984,16.46734001162472,zscore
25_musk,2106,76,continuous,292,-259.0,156.0,zscore_range,,,-106.20132953466286,132.81166937960884,zscore
25_musk,2106,77,continuous,216,-130.0,113.0,zscore_range,,,-30.664767331434,42.43521024162256,zscore
25_musk,2106,78,continuous,211,-107.0,180.0,zscore_range,,,-33.93589743589744,59.01102616460696,zscore
25_musk,2106,79,continuous,214,-14.0,236.0,zscore_range,,,59.51329534662868,50.106004097269434,zscore
25_musk,2106,80,continuous,339,-242.0,198.0,zscore_range,,,-82.0707502374169,105.57425038725711,zscore
25_musk,2106,81,continuous,220,-175.0,201.0,zscore_range,,,-45.61633428300095,126.41384274763756,zscore
25_musk,2106,82,continuous,272,-194.0,175.0,zscore_range,,,-66.95441595441595,79.13407073419566,zscore
25_musk,2106,83,continuous,287,-95.0,273.0,zscore_range,,,93.77825261158594,103.67571126979556,zscore
25_musk,2106,84,continuous,287,-196.0,186.0,zscore_range,,,-49.89031339031339,118.11638083618676,zscore
25_musk,2106,85,continuous,273,-203.0,193.0,zscore_range,,,-61.035612535612536,128.9340370547455,zscore
25_musk,2106,86,continuous,254,-196.0,108.0,zscore_range,,,-36.64434947768281,98.6909731210204,zscore
25_musk,2106,87,continuous,301,-195.0,158.0,zscore_range,,,-89.14957264957265,89.00813551763902,zscore
25_musk,2106,88,continuous,231,-106.0,151.0,zscore_range,,,20.882716049382715,69.42028308185141,zscore
25_musk,2106,89,continuous,307,-154.0,269.0,zscore_range,,,22.08594491927825,133.02040101580405,zscore
25_musk,2106,90,continuous,206,-202.0,59.0,zscore_range,,,-92.2559354226021,100.11487952820698,zscore
25_musk,2106,91,continuous,69,18.0,141.0,zscore_range,,,74.17996201329535,44.922455052009255,zscore
25_musk,2106,92,continuous,106,-123.0,146.0,zscore_range,,,-24.809591642924975,92.52584825636423,zscore
25_musk,2106,93,continuous,274,-212.0,182.0,zscore_range,,,-94.7659069325736,61.50020495845895,zscore
25_musk,2106,94,continuous,85,-78.0,42.0,zscore_range,,,-22.15479582146249,23.073929827488367,zscore
25_musk,2106,95,continuous,140,-58.0,235.0,zscore_range,,,118.14862298195632,103.67391369262104,zscore
25_musk,2106,96,continuous,299,-189.0,165.0,zscore_range,,,-26.086894586894587,114.10797168238301,zscore
25_musk,2106,97,continuous,287,-190.0,194.0,zscore_range,,,-46.24074074074074,125.32387471212583,zscore
25_musk,2106,98,continuous,134,-156.0,33.0,zscore_range,,,-79.03371320037986,67.56288831647989,zscore
25_musk,2106,99,continuous,253,-152.0,231.0,zscore_range,,,0.9097815764482431,116.31288414157397,zscore
25_musk,2106,100,continuous,194,-208.0,90.0,zscore_range,,,-82.07312440645774,100.1390883121914,zscore
25_musk,2106,101,continuous,91,21.0,144.0,zscore_range,,,90.92687559354226,39.30744680806131,zscore
25_musk,2106,102,continuous,220,-124.0,173.0,zscore_range,,,-46.971035137701804,53.147428992568706,zscore
25_musk,2106,103,continuous,206,-130.0,120.0,zscore_range,,,-57.15622032288699,48.37012846173193,zscore
25_musk,2106,104,continuous,142,-118.0,73.0,zscore_range,,,-76.02421652421653,44.76745742745638,zscore
25_musk,2106,105,continuous,247,-171.0,134.0,zscore_range,,,-52.300094966761634,55.63775261151817,zscore
25_musk,2106,106,continuous,284,-194.0,142.0,zscore_range,,,-122.67426400759734,83.56443324674994,zscore
25_musk,2106,107,continuous,340,-276.0,167.0,zscore_range,,,-120.50949667616334,92.1667125445306,zscore
25_musk,2106,108,continuous,203,-105.0,195.0,zscore_range,,,-20.792972459639127,54.23710623091985,zscore
25_musk,2106,109,continuous,151,-126.0,38.0,zscore_range,,,-80.42877492877493,34.4400177486277,zscore
25_musk,2106,110,continuous,158,-68.0,120.0,zscore_range,,,-29.055555555555557,43.63786538485388,zscore
25_musk,2106,111,continuous,318,-222.0,214.0,zscore_range,,,-63.933998100664766,99.31795380314136,zscore
25_musk,2106,112,continuous,284,-218.0,194.0,zscore_range,,,-71.76780626780626,118.76942527632139,zscore
25_musk,2106,113,continuous,266,-202.0,180.0,zscore_range,,,-67.21842355175689,119.96905964917936,zscore
25_musk,2106,114,continuous,319,-198.0,216.0,zscore_range,,,-43.53133903133903,110.61718514066615,zscore
25_musk,2106,115,continuous,320,-158.0,253.0,zscore_range,,,-10.94017094017094,69.83049774121329,zscore
25_musk,2106,116,continuous,271,-102.0,315.0,zscore_range,,,50.76115859449193,139.0560239888389,zscore
25_musk,2106,117,continuous,326,-211.0,143.0,zscore_range,,,-64.93067426400759,118.09599383528736,zscore
25_musk,2106,118,continuous,293,-194.0,209.0,zscore_range,,,-37.7673314339981,131.46564768261345,zscore
25_musk,2106,119,continuous,296,-199.0,152.0,zscore_range,,,-47.844254510921175,109.37570168648523,zscore
25_musk,2106,120,continuous,233,-120.0,263.0,zscore_range,,,12.773029439696106,129.1124304992977,zscore
25_musk,2106,121,continuous,217,-69.0,244.0,zscore_range,,,66.86657169990504,84.55833948337668,zscore
25_musk,2106,122,continuous,274,-106.0,249.0,zscore_range,,,55.369895536562204,104.32942123177425,zscore
25_musk,2106,123,continuous,155,-107.0,106.0,zscore_range,,,9.724121557454891,53.16355059961189,zscore
25_musk,2106,124,continuous,158,-137.0,148.0,zscore_range,,,15.085944919278253,107.69761633429096,zscore
25_musk,2106,125,continuous,76,6.0,96.0,zscore_range,,,57.98765432098765,19.576810503821566,zscore
25_musk,2106,126,continuous,359,-212.0,219.0,zscore_range,,,-55.833333333333336,92.62112907839595,zscore
25_musk,2106,127,continuous,351,-212.0,241.0,zscore_range,,,-38.53228869895536,139.22223638373552,zscore
25_musk,2106,128,continuous,320,-215.0,205.0,zscore_range,,,-66.99477682811016,71.84433996143575,zscore
25_musk,2106,129,continuous,167,-188.0,115.0,zscore_range,,,-72.00569800569801,106.20430849650705,zscore
25_musk,2106,130,continuous,97,-90.0,101.0,zscore_range,,,-1.4482431149097816,47.83683915847742,zscore
25_musk,2106,131,continuous,210,-122.0,137.0,zscore_range,,,-7.552231718898385,69.28308348661015,zscore
25_musk,2106,132,continuous,338,-242.0,176.0,zscore_range,,,-71.60446343779677,70.93033083194787,zscore
25_musk,2106,133,continuous,265,-158.0,168.0,zscore_range,,,-58.63200379867047,57.62112146274894,zscore
25_musk,2106,134,continuous,225,-129.0,132.0,zscore_range,,,-45.028964862298196,51.911556539438244,zscore
25_musk,2106,135,continuous,208,-163.0,125.0,zscore_range,,,-10.198480531813866,66.25729379884804,zscore
25_musk,2106,136,continuous,284,-180.0,178.0,zscore_range,,,-15.58974358974359,105.47984585460249,zscore
25_musk,2106,137,continuous,253,-183.0,130.0,zscore_range,,,-12.673314339981006,88.46767519146461,zscore
25_musk,2106,138,continuous,338,-233.0,202.0,zscore_range,,,-81.00474833808167,106.91024972808486,zscore
25_musk,2106,139,continuous,336,-216.0,203.0,zscore_range,,,-47.55792972459639,75.18928135486951,zscore
25_musk,2106,140,continuous,304,-201.0,188.0,zscore_range,,,-58.34757834757835,78.1868776155411,zscore
25_musk,2106,141,continuous,223,-141.0,181.0,zscore_range,,,-3.7535612535612537,85.51513391408047,zscore
25_musk,2106,142,continuous,257,-155.0,211.0,zscore_range,,,-9.710351377018045,115.29723204054301,zscore
25_musk,2106,143,continuous,239,-171.0,189.0,zscore_range,,,-31.764482431149098,116.9690082882889,zscore
25_musk,2106,144,continuous,57,-178.0,-114.0,zscore_range,,,-174.02279202279203,10.626413228909428,zscore
25_musk,2106,145,continuous,152,-105.0,165.0,zscore_range,,,-82.50237416904083,57.01714345470703,zscore
25_musk,2106,146,continuous,114,-131.0,102.0,zscore_range,,,-108.61728395061728,26.932784778906772,zscore
25_musk,2106,147,continuous,244,-167.0,130.0,zscore_range,,,3.3542260208926877,70.79194449383115,zscore
25_musk,2106,148,continuous,243,-189.0,117.0,zscore_range,,,-15.634852801519468,84.39922935303788,zscore
25_musk,2106,149,continuous,258,-145.0,185.0,zscore_range,,,10.537037037037036,87.6606045023885,zscore
25_musk,2106,150,continuous,85,-128.0,98.0,zscore_range,,,-61.65384615384615,51.79357015796966,zscore
25_musk,2106,151,continuous,124,-128.0,73.0,zscore_range,,,-46.528490028490026,75.41823491026057,zscore
25_musk,2106,152,continuous,90,-113.0,92.0,zscore_range,,,-45.332858499525166,68.4498335172784,zscore
25_musk,2106,153,continuous,169,-171.0,90.0,zscore_range,,,-72.09876543209876,75.27236854691087,zscore
25_musk,2106,154,continuous,145,-133.0,127.0,zscore_range,,,22.580246913580247,86.8150902476975,zscore
25_musk,2106,155,continuous,137,-198.0,80.0,zscore_range,,,-52.914529914529915,94.52681831377014,zscore
25_musk,2106,156,continuous,212,-254.0,145.0,zscore_range,,,-191.60161443494778,106.51099920130262,zscore
25_musk,2106,157,continuous,360,-314.0,94.0,zscore_range,,,-172.32905982905982,112.15627020634852,zscore
25_musk,2106,158,continuous,331,-217.0,179.0,zscore_range,,,-77.5014245014245,139.71288986135957,zscore
25_musk,2106,159,continuous,154,-134.0,84.0,zscore_range,,,-34.20797720797721,45.627964686531634,zscore
25_musk,2106,160,continuous,197,-119.0,154.0,zscore_range,,,57.294396961063626,87.1225285609352,zscore
25_musk,2106,161,continuous,107,-6.0,129.0,zscore_range,,,94.59021842355176,28.501006783999383,zscore
25_musk,2106,162,continuous,127,158.0,315.0,zscore_range,,,205.66571699905035,33.461553002352076,zscore
25_musk,2106,163,continuous,31,-73.0,-37.0,zscore_range,,,-59.64482431149098,12.445480889855958,zscore
25_musk,2106,164,continuous,129,-308.0,-114.0,zscore_range,,,-174.16809116809117,44.43663657766492,zscore
25_musk,2106,165,continuous,84,-29.0,154.0,zscore_range,,,49.629629629629626,70.21222445568665,zscore
