dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
24_mnist,4858,26,constant,1,-0.012183333747089,-0.012183333747089,constant,-0.012183333747089,-0.012183333747089,,,fallback
24_mnist,4858,27,continuous,253,-82.95281982421875,172.04718017578125,mad_range,,,10.04718017578125,137.8818,mad
24_mnist,4858,28,constant,1,-0.112199999392033,-0.112199999392033,constant,-0.112199999392033,-0.112199999392033,,,fallback
24_mnist,4858,29,constant,1,-0.022183332592249,-0.022183332592249,constant,-0.022183332592249,-0.022183332592249,,,fallback
24_mnist,4858,30,continuous,86,-3.640049934387207,251.3599548339844,mad_range,,,-3.640049934387207,0.0,mad
24_mnist,4858,31,constant,1,-0.082983329892159,-0.082983329892159,constant,-0.082983329892159,-0.082983329892159,,,fallback
24_mnist,4858,32,continuous,255,-59.32851791381836,195.6714782714844,mad_range,,,139.67147827148435,80.06040000000009,mad
24_mnist,4858,33,continuous,255,-90.59978485107422,164.40020751953125,mad_range,,,84.40021514892578,117.12538868865965,mad
24_mnist,4858,34,continuous,244,-44.206367492675774,210.79364013671875,mad_range,,,-44.206367492675774,0.0,mad
24_mnist,4858,35,constant,1,-0.189316660165787,-0.189316660165787,constant,-0.189316660165787,-0.189316660165787,,,fallback
24_mnist,4858,36,constant,1,-0.03521666675806,-0.03521666675806,constant,-0.03521666675806,-0.03521666675806,,,fallback
24_mnist,4858,37,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,38,continuous,205,-12.3903169631958,242.60968017578125,mad_range,,,-12.3903169631958,0.0,mad
24_mnist,4858,39,constant,1,-0.296166658401489,-0.296166658401489,constant,-0.296166658401489,-0.296166658401489,,,fallback
24_mnist,4858,40,constant,1,-0.525983333587646,-0.525983333587646,constant,-0.525983333587646,-0.525983333587646,,,fallback
24_mnist,4858,41,continuous,118,-6.639116764068604,247.3608856201172,mad_range,,,-6.639116764068604,0.0,mad
24_mnist,4858,42,continuous,164,-16.82761573791504,238.17237854003903,mad_range,,,-16.82761573791504,0.0,mad
24_mnist,4858,43,continuous,256,-83.87638092041014,171.12362670898435,mad_range,,,94.12361907958984,111.19501131134028,mad
24_mnist,4858,44,constant,1,-0.242033332586288,-0.242033332586288,constant,-0.242033332586288,-0.242033332586288,,,fallback
24_mnist,4858,45,continuous,224,-50.962249755859375,204.03775024414065,mad_range,,,-50.962249755859375,0.0,mad
24_mnist,4858,46,continuous,238,-21.133234024047848,233.86676025390625,mad_range,,,-21.133234024047848,0.0,mad
24_mnist,4858,47,continuous,245,-21.73446655273437,233.2655334472656,mad_range,,,-21.73446655273437,0.0,mad
24_mnist,4858,48,continuous,213,-31.500400543212887,223.4996032714844,mad_range,,,-31.500400543212887,0.0,mad
24_mnist,4858,49,continuous,15,-1.897966623306274,250.1020355224609,mad_range,,,-1.897966623306274,0.0,mad
24_mnist,4858,50,constant,1,-0.336016654968262,-0.336016654968262,constant,-0.336016654968262,-0.336016654968262,,,fallback
24_mnist,4858,51,continuous,249,-40.63853454589844,214.3614654541016,mad_range,,,-23.63853454589844,25.204199999999993,mad
24_mnist,4858,52,constant,1,-0.019283333793283,-0.019283333793283,constant,-0.019283333793283,-0.019283333793283,,,fallback
24_mnist,4858,53,constant,1,-0.01083333324641,-0.01083333324641,constant,-0.01083333324641,-0.01083333324641,,,fallback
24_mnist,4858,54,continuous,4,-0.843666672706604,176.1563262939453,mad_range,,,-0.843666672706604,0.0,mad
24_mnist,4858,55,constant,1,-0.120133332908154,-0.120133332908154,constant,-0.120133332908154,-0.120133332908154,,,fallback
24_mnist,4858,56,continuous,42,-0.820299983024597,252.17970275878903,mad_range,,,-0.820299983024597,0.0,mad
24_mnist,4858,57,continuous,255,-87.70641326904298,167.2935791015625,mad_range,,,39.29358673095703,185.32498868865966,mad
24_mnist,4858,58,continuous,10,-13.123550415039062,239.8764495849609,mad_range,,,-13.123550415039062,0.0,mad
24_mnist,4858,59,continuous,252,-50.50838470458984,204.4916076660156,mad_range,,,147.49160766601562,83.02559999999995,mad
24_mnist,4858,60,constant,1,-0.000533333339263,-0.000533333339263,constant,-0.000533333339263,-0.000533333339263,,,fallback
24_mnist,4858,61,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,62,continuous,2,-0.018249999731779,62.98175048828125,mad_range,,,-0.018249999731779,0.0,mad
24_mnist,4858,63,continuous,2,-1.20211660861969,253.79788208007807,mad_range,,,-1.20211660861969,0.0,mad
24_mnist,4858,64,continuous,215,-16.29581642150879,238.70417785644528,mad_range,,,-16.29581642150879,0.0,mad
24_mnist,4858,65,continuous,216,-96.96655273437501,158.033447265625,mad_range,,,-96.96655273437501,0.0,mad
24_mnist,4858,66,continuous,252,-72.63223266601561,182.3677673339844,mad_range,,,151.36776733398435,44.47800000000008,mad
24_mnist,4858,67,continuous,255,-118.21624755859376,136.78375244140625,mad_range,,,115.28375244140624,30.393300000000018,mad
24_mnist,4858,68,continuous,7,-10.498049736022947,242.501953125,mad_range,,,-10.498049736022947,0.0,mad
24_mnist,4858,69,continuous,211,-12.030916213989258,242.96908569335935,mad_range,,,-12.030916213989258,0.0,mad
24_mnist,4858,70,constant,1,-0.000633333344012,-0.000633333344012,constant,-0.000633333344012,-0.000633333344012,,,fallback
24_mnist,4858,71,continuous,242,-86.86730194091797,168.1326904296875,mad_range,,,-86.86730194091797,0.0,mad
24_mnist,4858,72,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,73,continuous,241,-85.42555236816406,169.5744476318359,mad_range,,,-85.42555236816406,0.0,mad
24_mnist,4858,74,continuous,237,-34.504817962646484,220.49517822265625,mad_range,,,-34.504817962646484,0.0,mad
24_mnist,4858,75,continuous,256,-111.07826995849608,143.92172241210935,mad_range,,,25.921730041503903,171.98158868865963,mad
24_mnist,4858,76,constant,1,-0.866800010204315,-0.866800010204315,constant,-0.866800010204315,-0.866800010204315,,,fallback
24_mnist,4858,77,continuous,253,-110.7875518798828,144.2124481201172,mad_range,,,126.21244812011717,25.204200000000018,mad
24_mnist,4858,78,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,79,continuous,253,-85.10272979736328,169.89727783203125,mad_range,,,42.89727020263672,185.32501131134032,mad
24_mnist,4858,80,continuous,204,-5.721583366394043,249.2784118652344,mad_range,,,-5.721583366394043,0.0,mad
24_mnist,4858,81,continuous,256,-110.02580261230467,144.9741973876953,mad_range,,,111.97419738769533,47.443199999999976,mad
24_mnist,4858,82,continuous,2,-0.466183334589005,40.533817291259766,mad_range,,,-0.466183334589005,0.0,mad
24_mnist,4858,83,constant,1,-3.16213321685791,-3.16213321685791,constant,-3.16213321685791,-3.16213321685791,,,fallback
24_mnist,4858,84,continuous,249,-43.57503509521485,211.42495727539065,mad_range,,,16.424964904785156,88.956,mad
24_mnist,4858,85,continuous,244,-15.39271640777588,239.60728454589844,mad_range,,,-15.39271640777588,0.0,mad
24_mnist,4858,86,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,87,constant,1,-0.000783333322033,-0.000783333322033,constant,-0.000783333322033,-0.000783333322033,,,fallback
24_mnist,4858,88,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,89,constant,1,-0.031266666948795,-0.031266666948795,constant,-0.031266666948795,-0.031266666948795,,,fallback
24_mnist,4858,90,continuous,254,-64.94435119628906,190.0556488037109,mad_range,,,132.5556488037109,82.2843,mad
24_mnist,4858,91,constant,1,-0.107666663825512,-0.107666663825512,constant,-0.107666663825512,-0.107666663825512,,,fallback
24_mnist,4858,92,continuous,184,-4.469966888427734,250.530029296875,mad_range,,,-4.469966888427734,0.0,mad
24_mnist,4858,93,continuous,254,-93.61858367919922,161.38140869140625,mad_range,,,113.38141632080078,68.19959434432982,mad
24_mnist,4858,94,continuous,145,-137.1006317138672,117.8993682861328,mad_range,,,-137.1006317138672,0.0,mad
24_mnist,4858,95,continuous,251,-93.86858367919922,161.13140869140625,mad_range,,,-93.86858367919922,0.0,mad
24_mnist,4858,96,continuous,33,-2.274633407592773,252.72537231445312,mad_range,,,-2.274633407592773,0.0,mad
24_mnist,4858,97,continuous,2,-0.00065000000177,38.99935150146485,mad_range,,,-0.00065000000177,0.0,mad
24_mnist,4858,98,continuous,234,-12.351266860961914,242.64872741699216,mad_range,,,-12.351266860961914,0.0,mad
24_mnist,4858,99,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
